id,label,center_x,center_y,rotation_degrees,long_axis_angle_degrees,width,height
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8-2,71-1-1,582.8863117442804,323.2353697141885,49.234808999999984,139.23480899999743,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30-3-9-1-2-78-0-2-1-4-2-7-0,70-1,554.7513262361753,323.8998802649223,126.99689999999998,-143.00310000000172,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30-3-9-1-2-78-0-2-1-4-2,69-1,475.23146365719066,340.3387141914083,88.706365,178.70636499999893,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30-3-9-1-2-78-0-2-1-4-2-7,69-2,500.32230928206064,334.9901730318332,68.02291,158.0229099999994,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30-3-9-1-2-78-0-2-1-4-2-7-2,69-3,522.2669416103676,322.1694918754541,51.879321000000004,141.87932099999693,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2,68-2-2,653.5739399643699,267.87867774597777,43.564997000000005,133.5649970000058,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1,68-2-1,648.1082234312707,262.6593946261605,43.564997000000005,133.56499699999415,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2,68-1-2,635.1163654193452,287.0249343688313,43.564997000000005,133.56499700000109,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0,68-1-1,629.6506416403159,281.805644357244,43.564997000000005,133.56499699999887,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-1,67-1,550.8332104766351,299.27641151415173,-127.14601,-37.146009999999166,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-66,67-2,575.0823001816213,290.54450739480916,-91.06237,-1.062369999999106,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-7,67-3,600.5550240245753,290.43325836883895,-88.671846,1.3281540000009784,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-26-2-3-30,66-1,493.400710908693,290.8649532035217,114.86133000000001,-155.1386700000004,3.3142691,21.368462
